gene_name,CT_F_logFC,CT_F_FDR,CT_M_logFC,CT_M_FDR,CT_SB_inter_logFC,CT_SB_inter_FDR,SB_6_logFC,SB_6_FDR,SB_6_sexbias,SB_19_logFC,SB_19_FDR,SB_19_sexbias,Dvir_FBN,Dvir_FBsym,vir_log2FoldChange,vir_padj,vir_sexbias,Dmel_FBN,Dmel_FBsym,david_B1,david_B2,david_B3,david_B4,david_B5,david_B6,david_B7,david_B8,david_B9,david_B10,david_B11,david_B12,david_F1,david_F2,david_M1,david_M2,david_M3,david_M4,david_M5,david_M6,david_I1
augustus_masked-scaffold1007-size26361-abinit-gene-0.0,0.540089187,0.113494826,0.315390267,0.367483397,0.224698921,0.824158857,0.773402048,0.006740202,female_biased,0.548703128,0.038153294,female_biased,FBgn0202089,Dvir\GJ14885,-0.822608338,0.269217682,Unbiased,FBgn0000163,baz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1008-size69378-abinit-gene-0.5,-0.004216572,0.982226777,-0.021372114,0.922376456,0.017155542,0.97652,-0.299325977,0.033013498,male_biased,-0.316481519,0.02698017,male_biased,FBgn0197703,Dvir\GJ10422,0.101941098,0.941282395,Unbiased,FBgn0038145,Droj2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1008-size69378-abinit-gene-0.6,-0.456058437,0.408941056,0.073143122,0.917088572,-0.529201559,0.759116207,-3.098564681,2.44E-05,male_biased,-2.569363122,8.75E-05,male_biased,FBgn0198022,Dvir\GJ10745,0.374047977,0.687966204,Unbiased,FBgn0038143,CG9813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1008-size69378-abinit-gene-0.9,-0.332252565,0.058379056,-0.416420493,0.022008603,0.084167928,0.864569748,-0.031291642,0.790843229,Unbiased,-0.11545957,0.322719189,Unbiased,FBgn0198024,Dvir\GJ10747,-1.283652101,0.232148483,Unbiased,FBgn0086371,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold101-size120241-abinit-gene-0.0,-0.322593447,0.249242429,-0.424310016,0.160089265,0.101716568,0.917319216,0.491394747,0.032003068,female_biased,0.389678179,0.079036276,Unbiased,FBgn0201879,Dvir\GJ14672,0.065848802,0.964255805,Unbiased,FBgn0004811,fs(2)ltoPP43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold101-size120241-abinit-gene-0.3,1.486729549,0.033615969,0.494255183,0.416325334,0.992474366,0.517537988,-1.545222666,0.003188117,male_biased,-2.537697032,0.000131348,male_biased,FBgn0201884,Dvir\GJ14677,3.176492622,0.014145172,male_biased,FBgn0000529,bsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold101-size120241-abinit-gene-0.4,-1.291829721,0.008520336,-0.845196861,0.03978347,-0.44663286,0.659153857,-0.206423578,0.443590615,Unbiased,0.240209282,0.373350616,Unbiased,FBgn0201887,Dvir\GJ14680,-0.230012749,0.867534039,Unbiased,FBgn0032820,fbp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1010-size29458-abinit-gene-0.0,-0.178551393,0.609711988,-0.39656027,0.287272802,0.218008877,0.843793768,0.788417,0.009102319,female_biased,0.570408122,0.042605294,female_biased,FBgn0204078,Dvir\GJ16899,-0.961824694,0.568045822,Unbiased,FBgn0030675,CG8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1010-size29458-abinit-gene-0.3,-0.187085505,0.373047539,-0.078248529,0.760470668,-0.108836977,0.873725346,0.75055917,0.000512643,female_biased,0.859396147,0.000173306,female_biased,FBgn0203717,Dvir\GJ16533,-0.132569979,0.915287407,Unbiased,FBgn0011741,Arp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1011-size29701-abinit-gene-0.0,-1.394175537,0.026520142,-0.558126795,0.303756095,-0.836048742,0.536187295,-1.1862631,0.008401122,male_biased,-0.350214358,0.359488724,Unbiased,FBgn0207202,Dvir\GJ20061,0.070272052,0.968081447,Unbiased,FBgn0050069,CG30069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1011-size29701-abinit-gene-0.1,-0.896160915,0.243242203,-0.302483142,0.736484683,-0.593677773,0.800719653,-1.701025032,0.011179041,male_biased,-1.107347259,0.068557343,Unbiased,FBgn0209418,Dvir\GJ22305,0.76351546,0.474569008,Unbiased,FBgn0033911,VGAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1015-size19200-abinit-gene-0.1,0.257501359,0.580380311,-0.218122923,0.642627584,0.475624282,0.713453374,-5.901149389,3.57E-08,male_biased,-6.376773671,2.07E-08,male_biased,FBgn0210342,Dvir\GJ23240,2.738403158,3.63E-05,male_biased,FBgn0266801,CG45263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1018-size132708-abinit-gene-0.5,0.258886096,0.579077286,0.275231579,0.596569681,-0.016345483,0.989994024,-1.180204333,0.004729225,male_biased,-1.16385885,0.005305017,male_biased,FBgn0197464,Dvir\GJ10176,-0.225366274,0.852859353,Unbiased,FBgn0038752,CG4462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1018-size132708-abinit-gene-0.8,-0.661723534,0.171454543,-0.616235763,0.219989831,-0.045487772,0.977030958,-0.591764819,0.105088616,Unbiased,-0.546277048,0.13396681,Unbiased,FBgn0198267,Dvir\GJ11000,-0.71017499,0.398390941,Unbiased,FBgn0038756,CG4783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1019-size110373-abinit-gene-0.1,-0.379274993,0.058515215,-0.422603149,0.035838383,0.043328156,0.939807413,-0.928255811,2.25E-05,male_biased,-0.971583967,1.39E-05,male_biased,FBgn0210661,Dvir\GJ23564,0.432327911,0.700406009,Unbiased,FBgn0020018,Ppox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1019-size110373-abinit-gene-0.2,-0.454154077,0.023085328,-0.259694966,0.135532517,-0.194459111,0.677683533,-0.988057231,6.59E-06,male_biased,-0.79359812,3.74E-05,male_biased,FBgn0210743,Dvir\GJ23646,-0.701168697,0.30870655,Unbiased,FBgn0039215,CG6695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1019-size110373-abinit-gene-0.3,-0.096481665,0.688653768,-0.498824907,0.057829346,0.402343242,0.521856084,0.10095772,0.570540373,Unbiased,-0.301385522,0.102376004,Unbiased,FBgn0210662,Dvir\GJ23565,0.865763141,0.239334335,Unbiased,FBgn0051125,CG31125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1019-size110373-abinit-gene-0.4,-0.324545708,0.187328217,0.055256395,0.85960434,-0.379802103,0.563658797,0.602589316,0.005449436,female_biased,0.982391418,0.000180264,female_biased,FBgn0210742,Dvir\GJ23645,-0.591862126,0.430115691,Unbiased,FBgn0000139,ash2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1019-size110373-abinit-gene-0.5,0.321367461,0.160100843,0.324067328,0.173368268,-0.002699867,0.997136147,-0.518064948,0.007677049,male_biased,-0.515365081,0.008155693,male_biased,FBgn0210663,Dvir\GJ23566,-0.250120721,0.793303913,Unbiased,FBgn0039214,puf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1019-size110373-abinit-gene-1.0,-0.019840338,0.915419342,-0.137543553,0.455723834,0.117703215,0.820572939,1.191763977,1.79E-06,female_biased,1.074060762,3.87E-06,female_biased,FBgn0210664,Dvir\GJ23567,-1.537374463,0.022141998,female_biased,FBgn0046685,Wsck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold102-size108901-abinit-gene-0.0,-0.12473154,0.821587443,0.358361424,0.540119896,-0.483092964,0.766264151,-0.280952469,0.470962837,Unbiased,0.202140495,0.607733071,Unbiased,FBgn0210044,Dvir\GJ22941,-0.565127326,0.540655034,Unbiased,FBgn0028952,Kebab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold102-size108901-abinit-gene-0.5,-0.517037896,0.046576259,-0.101900188,0.698409635,-0.415137708,0.483186048,0.046481911,0.786600765,Unbiased,0.461619619,0.015854559,female_biased,FBgn0210000,Dvir\GJ22897,-0.770364383,0.228818392,Unbiased,FBgn0031381,Npc2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1021-size46816-abinit-gene-0.1,-0.424199192,0.244556953,-0.114948778,0.809385601,-0.309250414,0.790558427,2.91992978,1.24E-06,female_biased,3.229180194,4.79E-07,female_biased,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1021-size46816-abinit-gene-0.2,-0.146426418,0.591477655,-0.068785849,0.841868143,-0.077640569,0.932952126,2.952913335,8.20E-08,female_biased,3.030553904,5.63E-08,female_biased,FBgn0202926,Dvir\GJ15738,-1.978450605,0.000624618,female_biased,FBgn0031769,CG9135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1021-size46816-abinit-gene-0.3,-0.594354119,0.103271721,-0.286405326,0.446700286,-0.307948793,0.771515271,0.604389912,0.03124649,female_biased,0.912338704,0.00365552,female_biased,FBgn0199403,Dvir\GJ12151,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1021-size46816-abinit-gene-0.5,-1.012909547,0.047012536,-0.322687464,0.514567273,-0.690222082,0.563658797,0.181526846,0.586586538,Unbiased,0.871748928,0.019295015,female_biased,FBgn0199414,Dvir\GJ12162,-0.09267949,0.965134981,Unbiased,FBgn0085208,CG34179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1021-size46816-abinit-gene-0.6,0.176832234,0.31895271,0.241789923,0.205921111,-0.06495769,0.916741456,-0.731837225,0.000165245,male_biased,-0.666879535,0.000322271,male_biased,FBgn0199425,Dvir\GJ12173,0.203719001,0.849653458,Unbiased,FBgn0029161,slmo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1022-size75351-abinit-gene-0.2,-0.046854526,0.837244285,0.4240703,0.068003786,-0.470924826,0.3815302,-0.736997696,0.000558959,male_biased,-0.26607287,0.106147739,Unbiased,FBgn0201573,Dvir\GJ14360,-0.396039329,0.706636956,Unbiased,FBgn0016120,ATPsynD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1024-size49215-abinit-gene-0.4,-0.822117948,0.076680156,-0.90729607,0.054155242,0.085178123,0.948918234,-1.358261761,0.0011052,male_biased,-1.443439884,0.0006994,male_biased,FBgn0203270,Dvir\GJ16085,0.447252652,0.594836044,Unbiased,FBgn0035346,CG1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1027-size66346-abinit-gene-0.1,0.176594607,0.683905277,0.526527675,0.260852179,-0.349933068,0.794288131,0.811031843,0.022875838,female_biased,1.160964911,0.003577494,female_biased,FBgn0200188,Dvir\GJ12954,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold103-size49482-abinit-gene-0.1,-0.191648328,0.385463512,-0.074096183,0.783944508,-0.117552145,0.869469273,-0.388808039,0.031457525,male_biased,-0.271255894,0.116255886,Unbiased,FBgn0208385,Dvir\GJ21252,-0.473620291,0.622599101,Unbiased,FBgn0034753,CG2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold103-size49482-abinit-gene-0.2,-0.169395672,0.264071438,-0.382210778,0.029199168,0.212815107,0.6136776,0.816228254,1.83E-05,female_biased,0.603413147,0.000199819,female_biased,FBgn0208386,Dvir\GJ21253,-1.003084783,0.142791215,Unbiased,FBgn0040091,Ugt58Fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold103-size49482-abinit-gene-0.3,-0.491383145,0.082947418,-0.264130439,0.348704071,-0.227252706,0.779419972,0.174309552,0.376578345,Unbiased,0.401562258,0.0556359,Unbiased,FBgn0208388,Dvir\GJ21255,-0.276723987,0.816182399,Unbiased,FBgn0034750,CG3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold103-size49482-abinit-gene-0.5,-0.313327236,0.123806368,-0.140809516,0.518564451,-0.17251772,0.775634365,0.866972188,8.77E-05,female_biased,1.039489908,1.81E-05,female_biased,FBgn0208390,Dvir\GJ21257,-1.277319998,0.228852665,Unbiased,FBgn0034748,CG17807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1030-size37077-abinit-gene-0.1,-0.595003624,0.073564331,-0.300484618,0.353948999,-0.294519005,0.757312233,-0.436949127,0.066883581,Unbiased,-0.142430121,0.531180475,Unbiased,FBgn0210631,Dvir\GJ23533,-0.195677503,0.874069005,Unbiased,FBgn0037981,Spt3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1030-size37077-abinit-gene-0.2,-0.465497338,0.118661525,0.044572021,0.902101928,-0.510069359,0.500668507,1.282731576,8.59E-05,female_biased,1.792800935,5.23E-06,female_biased,FBgn0210781,Dvir\GJ23684,-0.862582773,0.290886851,Unbiased,FBgn0037980,DCAF12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1031-size31058-abinit-gene-0.0,-0.572120017,0.498074014,-0.910378714,0.290692481,0.338258697,0.903867464,-1.615914948,0.021521456,male_biased,-1.954173646,0.007552879,male_biased,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1032-size44425-abinit-gene-0.0,-0.075212403,0.923343644,1.51434967,0.060477214,-1.589562073,0.3815302,-0.840474681,0.121012675,Unbiased,0.749087392,0.176825124,Unbiased,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1032-size44425-abinit-gene-0.2,-0.251293419,0.254409943,-0.091686601,0.724864189,-0.159606818,0.814478481,-1.016175332,6.76E-05,male_biased,-0.856568514,0.000245067,male_biased,FBgn0202438,Dvir\GJ15242,0.099078899,0.959933917,Unbiased,FBgn0027359,Tim8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1033-size20637-abinit-gene-0.2,-0.402446028,0.067577767,-0.268809894,0.205713922,-0.133636133,0.83004906,0.01211231,0.936772648,Unbiased,0.145748443,0.328443459,Unbiased,FBgn0198075,Dvir\GJ10804,-0.946027144,0.221349139,Unbiased,FBgn0038110,CG8031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1035-size48451-abinit-gene-0.1,-1.156939195,0.005899362,-0.715565965,0.035867362,-0.44137323,0.584971234,-0.687108725,0.008401739,male_biased,-0.245735495,0.275782275,Unbiased,FBgn0200234,Dvir\GJ13000,-0.315801963,0.805408346,Unbiased,FBgn0035780,CG18417,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1035-size48451-abinit-gene-0.2,-0.025453391,0.955620984,-0.623420291,0.160088223,0.5979669,0.585722302,2.023571783,4.44E-05,female_biased,1.425604883,0.000553698,female_biased,FBgn0200458,Dvir\GJ13232,-1.64862165,0.045671748,female_biased,FBgn0035160,hng3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1035-size48451-abinit-gene-0.3,0.255615245,0.422370612,0.145497947,0.697391538,0.110117299,0.919521382,0.232459127,0.334594244,Unbiased,0.122341828,0.614036981,Unbiased,FBgn0199366,Dvir\GJ12114,-0.393330816,0.814442982,Unbiased,FBgn0000575,emc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1037-size71000-abinit-gene-0.3,-0.765036388,0.318336518,-0.056017631,0.952059576,-0.709018757,0.762211362,-3.14541471,0.000228175,male_biased,-2.436395953,0.001150989,male_biased,FBgn0204547,Dvir\GJ17375,0.97758273,0.335610069,Unbiased,FBgn0051690,CG31690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1038-size58245-abinit-gene-0.0,-0.693807827,0.165762704,-1.37927788,0.02235558,0.685470054,0.617890897,2.132001647,0.000163037,female_biased,1.446531593,0.002005375,female_biased,FBgn0208351,Dvir\GJ21218,-1.153850627,0.249384206,Unbiased,FBgn0034360,CG10927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1038-size58245-abinit-gene-0.1,-0.334599838,0.254706032,-0.362825228,0.245896219,0.02822539,0.977215984,-0.957011095,0.000956114,male_biased,-0.985236485,0.000757548,male_biased,FBgn0208287,Dvir\GJ21154,-0.067150077,0.965692734,Unbiased,FBgn0034361,mRpS28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1038-size58245-abinit-gene-0.8,-0.667340052,0.042452134,-0.594365984,0.055486914,-0.072974068,0.937686744,-2.336207568,6.07E-07,male_biased,-2.2632335,6.53E-07,male_biased,FBgn0208360,Dvir\GJ21227,-0.140909652,0.906503789,Unbiased,FBgn0033781,CG13319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1041-size53617-abinit-gene-0.0,-0.656381624,0.444493123,-0.458995309,0.6317282,-0.197386315,0.942828112,-1.686124794,0.019747811,male_biased,-1.488738479,0.033582875,male_biased,FBgn0200308,Dvir\GJ13080,-0.257736907,0.849800418,Unbiased,FBgn0019985,mGluR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1042-size18763-abinit-gene-0.3,-0.278179844,0.184445711,-0.344415272,0.124587643,0.066235428,0.925687669,1.209849806,9.59E-06,female_biased,1.143614378,1.37E-05,female_biased,FBgn0208775,Dvir\GJ21656,-1.005312944,0.387169283,Unbiased,FBgn0263697,Uba3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1044-size25730-abinit-gene-0.0,0.578934372,0.013985338,-0.039292894,0.864401725,0.618227265,0.151154537,-1.282279319,1.86E-06,male_biased,-1.900506585,6.74E-08,male_biased,FBgn0203149,Dvir\GJ15963,0.732668261,0.458127348,Unbiased,FBgn0024183,vig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1045-size112508-abinit-gene-0.1,-0.227194112,0.147405291,-0.042542766,0.82249341,-0.184651345,0.669969438,0.621312748,0.000168369,female_biased,0.805964093,1.85E-05,female_biased,FBgn0204936,Dvir\GJ17767,-0.833511731,0.298395516,Unbiased,FBgn0032690,CG10333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1048-size39987-abinit-gene-0.2,-0.239395996,0.230833102,-0.375274163,0.084376461,0.135878167,0.827233011,0.10907289,0.465718491,Unbiased,-0.026805277,0.861223755,Unbiased,FBgn0209178,Dvir\GJ22064,-0.964002555,0.195071302,Unbiased,FBgn0034390,CG15093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1049-size37215-abinit-gene-0.2,-0.534649536,0.478318022,0.846707663,0.287715576,-1.381357199,0.483186048,-1.986832462,0.00416578,male_biased,-0.605475263,0.288907462,Unbiased,FBgn0204191,Dvir\GJ17014,0.623216775,0.653920521,Unbiased,FBgn0011294,a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold105-size69781-abinit-gene-0.0,0.10547327,0.907101342,2.027259926,0.028470817,-1.921786656,0.325029175,-2.867048924,0.000565788,male_biased,-0.945262268,0.13029309,Unbiased,FBgn0210374,Dvir\GJ23272,1.295897797,0.349803631,Unbiased,FBgn0003499,sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold105-size69781-abinit-gene-0.11,-0.220847273,0.476852444,0.08411203,0.833751951,-0.304959304,0.759116207,1.85868065,1.03E-05,female_biased,2.163639954,2.73E-06,female_biased,FBgn0210381,Dvir\GJ23279,-1.008810011,0.144623686,Unbiased,FBgn0038576,Arp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold105-size69781-abinit-gene-0.13,-0.264498943,0.235066096,-0.176407904,0.479567892,-0.088091039,0.908791927,1.815600505,6.64E-07,female_biased,1.903691544,3.84E-07,female_biased,FBgn0210382,Dvir\GJ23280,-1.317963054,0.058712005,Unbiased,FBgn0038578,MED17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold105-size69781-abinit-gene-0.6,-0.557867686,0.115114707,-0.343320592,0.346694963,-0.214547094,0.841829354,1.247723769,0.0003949,female_biased,1.462270863,0.000109273,female_biased,FBgn0210378,Dvir\GJ23276,-0.156443792,0.914327231,Unbiased,FBgn0022943,Cbp20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1052-size20520-abinit-gene-0.2,-0.732104749,0.032078469,-0.328820468,0.283884983,-0.403284281,0.6136776,-1.008941899,0.000572712,male_biased,-0.605657618,0.013914708,male_biased,FBgn0201616,Dvir\GJ14403,1.379826813,0.100250248,Unbiased,FBgn0038080,CG12279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1054-size76726-abinit-gene-0.0,0.508002422,0.076776719,0.201763273,0.478916245,0.306239148,0.686261168,-1.634927202,5.57E-06,male_biased,-1.94116635,1.23E-06,male_biased,FBgn0205227,Dvir\GJ18062,0.217519507,0.89136389,Unbiased,FBgn0016930,Dyrk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
