Gene_name,KL_Temp19_SexF_Rep1,KL_Temp19_SexF_Rep2,KL_Temp19_SexF_Rep3,KL_Temp19_SexM_Rep1,KL_Temp19_SexM_Rep2,KL_Temp19_SexM_Rep3,KL_Temp6_SexF_Rep1,KL_Temp6_SexF_Rep2,KL_Temp6_SexF_Rep3,KL_Temp6_SexM_Rep1,KL_Temp6_SexM_Rep2,KL_Temp6_SexM_Rep3
augustus_masked-scaffold1019-size110373-abinit-gene-0.5,4050,6716,8690,5031,6864,6381,10592,8725,8277,8245,6433,7194
augustus_masked-scaffold1019-size110373-abinit-gene-1.0,1560,1712,2110,564,631,527,2516,1946,1763,610,365,548
augustus_masked-scaffold102-size108901-abinit-gene-0.0,297,248,380,209,189,144,454,219,330,144,189,322
augustus_masked-scaffold102-size108901-abinit-gene-0.2,2,23,12,18,38,26,22,23,24,43,25,30
augustus_masked-scaffold102-size108901-abinit-gene-0.5,3705,3005,4625,1833,1939,1785,4270,2888,2319,1686,1446,1814
augustus_masked-scaffold1021-size46816-abinit-gene-0.1,2058,1271,2748,141,182,115,2433,1501,1441,119,124,137
augustus_masked-scaffold1021-size46816-abinit-gene-0.2,9086,6634,14074,747,927,758,14057,8594,8874,781,625,810
augustus_masked-scaffold1021-size46816-abinit-gene-0.3,1441,849,1739,482,483,480,1481,862,855,498,290,370
augustus_masked-scaffold1021-size46816-abinit-gene-0.5,768,407,907,284,220,261,517,374,334,217,130,254
augustus_masked-scaffold1021-size46816-abinit-gene-0.6,3746,3804,5294,4590,4818,4263,6067,6277,4487,5695,4420,5396
augustus_masked-scaffold1022-size75351-abinit-gene-0.2,12319,13680,12526,10512,10904,10264,16630,15661,11986,15719,10019,15610
augustus_masked-scaffold1024-size49215-abinit-gene-0.4,1388,2846,1259,3161,4081,3077,1327,1280,1074,2113,1206,2033
augustus_masked-scaffold1025-size44988-abinit-gene-0.0,7,10,20,48520,50121,54186,16,10,7,34195,29730,44241
augustus_masked-scaffold10264-size1114-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1027-size66346-abinit-gene-0.1,145,243,252,64,57,68,357,276,212,77,94,85
augustus_masked-scaffold1027-size66346-abinit-gene-0.3,9,2,2,4141,3665,3699,4,2,1,3437,2312,3436
augustus_masked-scaffold103-size49482-abinit-gene-0.1,23516,20359,30632,19617,20234,20590,35504,22483,19872,19555,13897,22158
augustus_masked-scaffold103-size49482-abinit-gene-0.2,62731,70764,74823,30103,31701,31035,91051,71057,57931,28595,17906,22804
augustus_masked-scaffold103-size49482-abinit-gene-0.3,2497,1856,3121,1160,1314,1342,2759,1792,1760,999,857,1185
augustus_masked-scaffold103-size49482-abinit-gene-0.5,3367,2856,4387,1117,1169,1184,4130,2927,2972,1161,871,998
augustus_masked-scaffold1030-size37077-abinit-gene-0.1,2484,1501,2966,1794,1666,1716,2388,1617,1477,1542,1017,1531
augustus_masked-scaffold1030-size37077-abinit-gene-0.2,2809,1869,3620,527,561,524,3014,1880,2178,590,467,537
augustus_masked-scaffold1031-size31058-abinit-gene-0.0,10,66,27,97,80,88,19,39,20,61,31,47
augustus_masked-scaffold1032-size44425-abinit-gene-0.0,50,153,61,24,43,40,83,145,63,115,73,108
augustus_masked-scaffold1032-size44425-abinit-gene-0.2,2551,2448,3875,3560,3257,3840,3763,2756,2234,3263,2637,3745
augustus_masked-scaffold1033-size20637-abinit-gene-0.2,3598,3183,4342,2401,2301,2095,4478,2996,2590,1931,1513,1979
augustus_masked-scaffold10334-size1107-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1035-size48451-abinit-gene-0.1,1763,2677,2027,2193,1562,1428,1340,1092,992,1286,836,953
augustus_masked-scaffold1035-size48451-abinit-gene-0.2,461,348,779,150,141,100,682,549,552,85,60,100
augustus_masked-scaffold1035-size48451-abinit-gene-0.3,402,668,689,322,412,344,1003,692,738,568,305,291
augustus_masked-scaffold1037-size71000-abinit-gene-0.1,9,5,6,168,162,109,9,2,0,156,89,166
augustus_masked-scaffold1037-size71000-abinit-gene-0.2,5,5,1,5,11,6,12,3,3,23,13,17
augustus_masked-scaffold1037-size71000-abinit-gene-0.3,59,106,25,249,224,248,28,48,54,263,167,247
augustus_masked-scaffold10375-size1101-abinit-gene-0.1,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1038-size58245-abinit-gene-0.0,421,335,743,126,106,128,511,342,237,45,25,66
augustus_masked-scaffold1038-size58245-abinit-gene-0.1,1047,825,1183,1540,1141,1396,1386,819,726,1108,862,1099
augustus_masked-scaffold1038-size58245-abinit-gene-0.8,549,516,888,2091,1797,2294,695,416,345,1369,1092,1496
augustus_masked-scaffold1039-size117771-abinit-gene-0.1,1,1,4,6421,5917,6482,1,2,0,4363,3161,4341
augustus_masked-scaffold1039-size117771-abinit-gene-1.0,0,0,0,323,494,582,0,0,0,1768,1984,3928
augustus_masked-scaffold10391-size1099-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,2,0,0
augustus_masked-scaffold1041-size53617-abinit-gene-0.0,56,112,20,120,137,116,30,74,37,100,68,94
augustus_masked-scaffold10410-size1096-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold10414-size1096-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1042-size18763-abinit-gene-0.3,2816,2370,4020,902,986,901,3873,2494,2552,798,573,747
augustus_masked-scaffold1044-size25730-abinit-gene-0.0,6362,8895,8881,20445,21787,18390,16042,15489,10645,21958,14853,20232
augustus_masked-scaffold1044-size25730-abinit-gene-0.2,0,11,0,17,3,19,10,4,0,15,3,13
augustus_masked-scaffold1045-size112508-abinit-gene-0.1,2588,2808,3986,1153,1346,1089,3747,2837,2721,1404,879,1092
augustus_masked-scaffold1045-size112508-abinit-gene-0.4,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1046-size76348-abinit-gene-0.0,0,0,0,2196,1561,1934,1,0,0,1375,711,1525
augustus_masked-scaffold10470-size1091-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1048-size39987-abinit-gene-0.2,6418,9786,12374,5487,7452,6330,12738,8189,7302,5144,3948,5124
augustus_masked-scaffold1048-size39987-abinit-gene-0.3,0,11,3,9,12,2,15,1,13,9,15,32
augustus_masked-scaffold1049-size37215-abinit-gene-0.2,108,61,53,59,69,111,105,69,25,128,98,192
augustus_masked-scaffold105-size69781-abinit-gene-0.0,41,71,21,44,80,57,43,78,48,212,121,384
augustus_masked-scaffold105-size69781-abinit-gene-0.10,6736,3982,8810,10,9,9,9270,5548,5213,13,10,8
augustus_masked-scaffold105-size69781-abinit-gene-0.11,1673,1208,2103,256,287,210,2338,1301,1457,268,247,240
augustus_masked-scaffold105-size69781-abinit-gene-0.13,3135,2491,4055,560,651,536,4219,2839,2516,580,441,459
augustus_masked-scaffold105-size69781-abinit-gene-0.3,0,3,0,586,657,632,7,5,5,629,393,612
augustus_masked-scaffold105-size69781-abinit-gene-0.4,0,3,0,2008,1178,1587,1,3,0,1381,1140,1515
augustus_masked-scaffold105-size69781-abinit-gene-0.6,2084,1247,2203,492,397,473,2002,1316,1208,377,300,359
augustus_masked-scaffold1052-size20520-abinit-gene-0.2,3475,2964,5603,4440,3395,4225,3865,2444,2205,3295,2315,3754
augustus_masked-scaffold1053-size42790-abinit-gene-0.0,2,18,12,9,21,23,29,43,18,67,54,36
augustus_masked-scaffold1053-size42790-abinit-gene-0.1,1,0,1,4880,4416,4158,1,2,0,3371,2543,3202
augustus_masked-scaffold10533-size1085-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1054-size76726-abinit-gene-0.0,290,467,494,992,1271,949,702,698,629,1430,787,1384
augustus_masked-scaffold1058-size72368-abinit-gene-0.0,0,2,1,14439,13361,12664,4,5,2,11208,8206,11945
augustus_masked-scaffold1059-size72624-abinit-gene-0.10,4,5,0,7,0,0,0,0,2,2,3,10
augustus_masked-scaffold1059-size72624-abinit-gene-0.4,25461,26944,31095,11579,10676,12155,35702,26028,22221,10073,6216,7821
augustus_masked-scaffold1059-size72624-abinit-gene-0.5,2644,2003,3557,673,681,662,3811,2196,2232,678,394,590
augustus_masked-scaffold1059-size72624-abinit-gene-0.9,1,3,1,8956,7425,7919,0,0,1,6992,5623,7741
augustus_masked-scaffold106-size95086-abinit-gene-0.2,0,2,0,0,8,6,2,0,0,0,1,1
augustus_masked-scaffold106-size95086-abinit-gene-0.3,0,0,3,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold10608-size1078-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1062-size56139-abinit-gene-0.0,33,53,43,105,133,189,79,34,32,79,68,78
augustus_masked-scaffold1062-size56139-abinit-gene-0.1,2271,2495,3149,690,914,752,3839,2902,2415,920,595,490
augustus_masked-scaffold1062-size56139-abinit-gene-0.3,1944,1778,1676,2081,1688,1730,1885,1652,1297,1139,725,1073
augustus_masked-scaffold1062-size56139-abinit-gene-0.5,216,469,149,271,490,482,94,88,58,210,75,161
augustus_masked-scaffold1062-size56139-abinit-gene-0.6,0,4,0,1,0,0,1,0,0,0,0,3
augustus_masked-scaffold1063-size18515-abinit-gene-0.0,2,0,3,3002,2790,2707,3,0,1,1953,1602,2317
augustus_masked-scaffold1066-size24045-abinit-gene-0.0,11,159,57,127,145,85,86,130,85,206,142,146
augustus_masked-scaffold1066-size24045-abinit-gene-0.2,1,1,4,7576,6682,7658,1,0,0,6203,4358,7293
augustus_masked-scaffold10689-size1070-abinit-gene-0.0,3,23,5,4,9,11,4,2,32,25,14,13
augustus_masked-scaffold1069-size20986-abinit-gene-0.0,3417,2729,4439,1337,1378,1255,4406,2892,2541,1071,820,1068
augustus_masked-scaffold107-size198745-abinit-gene-0.11,20218,27145,37376,55,120,73,40782,30576,33004,166,66,83
augustus_masked-scaffold107-size198745-abinit-gene-0.2,9111,9372,13870,4195,5145,4910,15214,11983,11072,6165,4378,4893
augustus_masked-scaffold107-size198745-abinit-gene-0.9,8584,13206,10881,28685,32594,25707,11785,12764,8864,31506,21837,28737
augustus_masked-scaffold107-size198745-abinit-gene-1.5,842,947,841,597,589,554,1363,1163,1102,890,626,816
augustus_masked-scaffold107-size198745-abinit-gene-1.6,2506,2367,3412,2081,2156,2141,3065,2340,2417,1768,1130,1558
augustus_masked-scaffold107-size198745-abinit-gene-1.7,1901,1171,2488,202,184,254,2501,1519,1345,241,141,138
augustus_masked-scaffold1070-size36888-abinit-gene-0.1,109,342,153,226,371,280,178,148,117,303,208,270
augustus_masked-scaffold1070-size36888-abinit-gene-0.5,1,7,0,8,18,10,9,17,3,23,9,24
augustus_masked-scaffold1074-size52389-abinit-gene-0.11,2335,4218,3122,6247,8514,5699,4515,4444,3875,6369,4985,6465
augustus_masked-scaffold1074-size52389-abinit-gene-0.6,2323,1753,3098,2602,2753,2147,2636,1618,1713,2168,1242,2053
augustus_masked-scaffold1074-size52389-abinit-gene-0.7,290,575,249,14759,14065,14167,498,413,341,12307,10312,11921
augustus_masked-scaffold1075-size18368-abinit-gene-0.2,4436,4145,7269,7906,7775,7250,7547,4978,5015,8266,5767,7367
augustus_masked-scaffold10758-size1063-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1076-size35745-abinit-gene-0.2,5469,14261,8675,5492,7569,5771,14248,13815,11904,6510,4752,5409
augustus_masked-scaffold1077-size98301-abinit-gene-0.0,160,292,617,26,51,44,658,543,448,97,95,96
augustus_masked-scaffold108-size104240-abinit-gene-0.2,64,280,49,261,273,240,50,52,40,270,163,175
augustus_masked-scaffold108-size104240-abinit-gene-0.4,195,351,198,2469,2232,2287,338,262,159,1665,1129,1834
augustus_masked-scaffold108-size104240-abinit-gene-0.6,1,1,1,11020,11250,10495,2,2,1,10268,7654,10491
augustus_masked-scaffold1080-size18356-abinit-gene-0.1,665,1228,1331,1295,1105,1025,626,469,435,557,305,712
augustus_masked-scaffold1082-size20758-abinit-gene-0.1,1024,661,1459,126,134,133,1116,682,623,99,80,37
augustus_masked-scaffold1083-size31124-abinit-gene-0.1,1862,3359,2091,3115,2358,2765,3072,3323,2312,2186,1524,2221
augustus_masked-scaffold10831-size1055-abinit-gene-0.0,417,322,549,306,415,253,801,677,571,354,295,350
augustus_masked-scaffold1084-size41186-abinit-gene-0.3,3,3,5,22363,19647,20468,6,5,1,18353,12284,18458
augustus_masked-scaffold1084-size41186-abinit-gene-0.4,7454,10432,13496,727,1004,965,18556,15444,18147,1247,931,912
augustus_masked-scaffold1085-size35434-abinit-gene-0.0,1789,1166,1917,901,894,850,1891,1195,969,724,613,840
augustus_masked-scaffold1085-size35434-abinit-gene-0.2,24,16,1,2281,2438,2390,13,1,4,2045,1780,2157
augustus_masked-scaffold1085-size35434-abinit-gene-0.3,12380,9592,22793,560,660,502,20914,11692,17145,508,424,564
augustus_masked-scaffold10858-size1052-abinit-gene-0.0,111,291,295,104,166,112,537,598,265,372,224,214
augustus_masked-scaffold1087-size50705-abinit-gene-0.3,58,45,41,119,103,88,75,39,35,84,50,70
augustus_masked-scaffold1087-size50705-abinit-gene-0.5,11167,9632,15729,3137,3854,3364,17778,13945,13261,4900,3312,4247
augustus_masked-scaffold10877-size1050-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1088-size27838-abinit-gene-0.0,3,16,4,3,10,15,1,8,2,5,3,7
augustus_masked-scaffold1089-size22845-abinit-gene-0.0,2122,1638,3122,604,634,715,2603,1666,1616,557,438,549
augustus_masked-scaffold1089-size22845-abinit-gene-0.4,1749,2184,984,1941,1700,1748,1470,1528,1062,1536,1145,1462
augustus_masked-scaffold10911-size1046-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1092-size72151-abinit-gene-0.5,1297,1772,2569,1183,1214,1250,2681,1781,1635,1360,929,1274
augustus_masked-scaffold1095-size44958-abinit-gene-0.5,0,1,0,649,723,801,2,2,0,499,387,459
augustus_masked-scaffold1097-size90707-abinit-gene-0.1,2331,2004,3141,562,705,749,3150,2317,2273,943,629,787
augustus_masked-scaffold1097-size90707-abinit-gene-0.12,1,1,2,2648,2160,2374,0,1,0,1883,1035,1383
augustus_masked-scaffold1097-size90707-abinit-gene-0.2,5971,8286,8349,5223,5680,5243,9837,10083,7602,7933,5468,8862
augustus_masked-scaffold1097-size90707-abinit-gene-0.3,1108,1322,1396,348,389,432,1958,1768,1307,569,288,430
augustus_masked-scaffold1097-size90707-abinit-gene-0.4,1588,990,2023,191,258,233,1889,1223,1126,342,194,268
augustus_masked-scaffold1097-size90707-abinit-gene-0.6,2096,2039,3128,491,647,630,3762,2903,2791,848,689,713
augustus_masked-scaffold1097-size90707-abinit-gene-0.8,1,5,10,13950,14606,13281,5,8,2,10906,8512,12390
augustus_masked-scaffold11-size186845-abinit-gene-0.2,0,7,0,7,2,0,4,0,0,2,1,9
augustus_masked-scaffold11-size186845-abinit-gene-1.2,220,373,519,4,5,2,447,455,315,0,2,0
augustus_masked-scaffold110-size75150-abinit-gene-0.5,768,1087,977,1107,1057,955,1103,882,776,813,671,869
augustus_masked-scaffold110-size75150-abinit-gene-0.6,7013,9697,7540,5177,4982,4729,6984,6250,4144,4141,2729,3718
augustus_masked-scaffold110-size75150-abinit-gene-0.7,15420,19562,21494,7394,8962,6767,21376,16260,15254,7819,5114,6846
augustus_masked-scaffold1100-size48307-abinit-gene-0.0,0,1,1,4,0,2,0,0,0,0,2,0
augustus_masked-scaffold1100-size48307-abinit-gene-0.1,1331,1660,1937,5204,4869,4705,2487,1882,1843,4326,3128,4451
augustus_masked-scaffold1100-size48307-abinit-gene-0.4,1761,1914,2146,1231,1166,1085,2242,1863,1628,1057,600,962
augustus_masked-scaffold1100-size48307-abinit-gene-0.5,36,183,101,98,258,190,176,177,94,240,187,263
augustus_masked-scaffold1101-size82628-abinit-gene-0.1,14,21,3,5478,4943,5144,16,9,3,4510,3800,4562
augustus_masked-scaffold1102-size102867-abinit-gene-0.0,0,0,0,2173,2274,2125,1,0,0,1409,1275,2017
augustus_masked-scaffold1102-size102867-abinit-gene-0.1,16401,13787,20602,5004,5872,4854,21139,15337,13174,6052,3906,5040
augustus_masked-scaffold1102-size102867-abinit-gene-0.2,13843,9396,16642,5798,5653,5685,20831,13271,11212,6315,4944,6664
augustus_masked-scaffold1102-size102867-abinit-gene-0.3,16706,12694,27199,3333,3716,3487,23889,17506,14794,4204,3391,4094
augustus_masked-scaffold1103-size32832-abinit-gene-0.0,124,595,109,456,613,433,186,422,355,837,701,648
augustus_masked-scaffold11030-size1034-abinit-gene-0.0,18,78,40,31,35,21,46,49,42,36,30,51
augustus_masked-scaffold11032-size1034-abinit-gene-0.0,2480,1599,3671,3038,3502,3161,3310,2052,2268,2805,1898,2447
augustus_masked-scaffold1104-size19587-abinit-gene-0.0,1,9,3,10147,7225,8392,3,0,3,6875,5312,7417
augustus_masked-scaffold1106-size63100-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1108-size56757-abinit-gene-0.10,1397,1199,1847,310,366,392,2287,1681,1409,421,353,389
augustus_masked-scaffold1108-size56757-abinit-gene-0.13,303,315,269,137,131,128,454,352,243,210,122,118
augustus_masked-scaffold1108-size56757-abinit-gene-0.4,2910,2790,3912,1786,1670,1957,5336,3575,3320,2105,1551,2000
augustus_masked-scaffold1108-size56757-abinit-gene-0.6,4712,3876,7254,1433,1259,1054,5636,3909,3884,996,659,843
augustus_masked-scaffold1108-size56757-abinit-gene-0.7,3760,2922,4881,1204,1309,1196,4471,3455,3067,1565,1160,1273
augustus_masked-scaffold1108-size56757-abinit-gene-0.8,1668,4539,1490,3996,4635,3328,2448,3183,2205,5955,3459,5546
augustus_masked-scaffold1108-size56757-abinit-gene-0.9,43525,96014,55345,54225,64588,59101,145714,126589,107102,55352,34068,44031
augustus_masked-scaffold11080-size1029-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold11085-size1028-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold11087-size1028-abinit-gene-0.0,5,3,0,10,16,10,0,0,6,20,25,17
augustus_masked-scaffold1109-size46166-abinit-gene-0.3,0,1,0,3500,3180,2772,4,5,1,2412,1575,2290
augustus_masked-scaffold111-size81186-abinit-gene-0.2,9,90,22,89,137,129,86,75,79,180,147,174
augustus_masked-scaffold1113-size55644-abinit-gene-0.0,81,140,79,96,161,69,60,75,71,113,48,116
augustus_masked-scaffold1113-size55644-abinit-gene-0.1,97,165,210,174,245,165,761,341,422,319,246,301
augustus_masked-scaffold1114-size31358-abinit-gene-0.2,2119,5360,3761,2994,3880,2651,2936,2570,2438,2817,1397,1861
augustus_masked-scaffold1116-size73732-abinit-gene-0.1,3,5,5,22019,20247,18137,5,3,7,18647,12757,16859
augustus_masked-scaffold1116-size73732-abinit-gene-0.3,9,6,5,7341,7724,8234,7,12,8,6542,5411,6204
augustus_masked-scaffold11176-size1020-abinit-gene-0.0,98,234,86,70,108,73,203,275,169,243,128,140
augustus_masked-scaffold11178-size1020-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold112-size74800-abinit-gene-0.5,825,438,1183,707,544,810,911,561,486,544,539,581
augustus_masked-scaffold11207-size1017-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1121-size30509-abinit-gene-0.0,1,0,0,819,632,737,0,2,0,621,465,674
augustus_masked-scaffold1121-size30509-abinit-gene-0.1,25,30,30,17,45,8,17,13,5,51,21,15
augustus_masked-scaffold1122-size26204-abinit-gene-0.0,631,1154,785,527,503,540,344,330,412,482,379,463
augustus_masked-scaffold11228-size1015-abinit-gene-0.0,0,0,0,3,0,0,0,0,0,0,0,0
augustus_masked-scaffold11244-size1014-abinit-gene-0.0,3,0,2,7004,7444,6362,1,1,2,5936,4250,5936
augustus_masked-scaffold1125-size28053-abinit-gene-0.0,979,1585,866,1810,2768,1631,1992,1428,1256,2469,1566,2684
augustus_masked-scaffold1125-size28053-abinit-gene-0.1,289,520,331,585,1080,585,860,794,541,1308,698,1245
augustus_masked-scaffold1128-size17796-abinit-gene-0.0,36,60,63,89,39,55,37,19,55,40,34,43
augustus_masked-scaffold1128-size17796-abinit-gene-0.1,1691,2117,2706,4763,5925,5178,3274,2497,2546,5676,4108,5101
augustus_masked-scaffold1128-size17796-abinit-gene-0.3,3178,4443,3818,6526,7362,6729,5838,6631,4444,7904,6875,8003
augustus_masked-scaffold1128-size17796-abinit-gene-0.4,388,415,340,1202,1349,1374,488,509,264,1277,979,1281
augustus_masked-scaffold11283-size1011-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold1129-size29676-abinit-gene-0.1,0,2,0,5606,4892,5534,1,2,4,4037,3059,4370
augustus_masked-scaffold1129-size29676-abinit-gene-0.2,2,2,7,10129,8325,9084,2,4,0,8084,5991,7804
augustus_masked-scaffold113-size50462-abinit-gene-0.2,1692,1140,1806,2781,2545,2743,1469,1200,959,2355,1941,2608
augustus_masked-scaffold1131-size44983-abinit-gene-0.1,1860,1717,2484,966,1192,910,2449,1797,1651,1303,873,1131
augustus_masked-scaffold1131-size44983-abinit-gene-0.2,1886,1573,2605,1758,1511,1726,2494,1820,1481,1387,1085,1653
augustus_masked-scaffold1131-size44983-abinit-gene-0.3,980,908,1079,576,412,616,993,775,585,384,294,398
augustus_masked-scaffold1134-size30922-abinit-gene-0.0,0,9,1,301,258,268,0,0,0,213,168,157
augustus_masked-scaffold1134-size30922-abinit-gene-0.1,3760,3215,5898,1241,1323,1090,4087,2824,2662,722,453,690
augustus_masked-scaffold1134-size30922-abinit-gene-0.3,2653,2082,3845,985,720,753,4115,2479,2834,1109,862,915
augustus_masked-scaffold1135-size97893-abinit-gene-0.0,0,0,0,371,374,369,0,0,0,243,166,298
augustus_masked-scaffold1138-size37222-abinit-gene-0.0,2719,3835,4024,4698,5470,4601,3811,3462,3144,5045,3507,4736
augustus_masked-scaffold1138-size37222-abinit-gene-0.2,1658,1139,2186,649,557,686,2072,1253,1147,637,421,515
augustus_masked-scaffold114-size71434-abinit-gene-0.10,0,0,0,218,184,224,0,0,0,198,114,170
augustus_masked-scaffold114-size71434-abinit-gene-0.2,2204,2118,2832,3578,3727,3563,3164,2215,2101,2838,2045,3202
augustus_masked-scaffold114-size71434-abinit-gene-0.6,1553,1391,2096,3734,3295,3827,1869,1499,1266,3027,2302,3104
